Rumore_%,F1_1FD,F1_5FD,F1_10FD,IM_1FD,IM_5FD,IM_10FD
0,0.8723,0.8723,0.8723,0,0,0
5,0.8652,0.8622,0.8575,55,64529,242011
10,0.8619,0.8575,0.8491,113,115500,346156
20,0.8556,0.8434,0.8308,190,201372,391837
30,0.8497,0.8325,0.8164,307,265277,376104
40,0.8453,0.8225,0.8026,378,304659,362421
