Config_FD,Modello,Rumore_%,Accuracy,Accuracy_sd,F1_weighted,F1_weighted_sd,F1_macro,IM,IP,IH,Righe_train_sporcate
C2,Logistic Regression,10,0.865,0.001,0.8645,0.0009,0.8645,122658.6667,42482.3333,4068.3333,4451.0
C2,Logistic Regression,15,0.8298,0.0025,0.8291,0.0026,0.8291,176894.6667,44221.6667,6116.0,6676.3333
C2,Logistic Regression,20,0.804,0.0031,0.8029,0.003,0.8029,229145.6667,44425.0,8133.6667,8902.0
C2,Logistic Regression,25,0.7762,0.0011,0.7748,0.0012,0.7748,277550.0,44448.3333,10186.3333,11128.0
C2,Logistic Regression,30,0.7564,0.0039,0.7547,0.004,0.7547,321914.0,44504.6667,12191.3333,13353.3333
C2,Logistic Regression,35,0.7352,0.0054,0.7329,0.0056,0.7329,369026.6667,44513.3333,14230.0,15579.0
C2,Logistic Regression,40,0.7197,0.0042,0.7171,0.0043,0.7171,407108.3333,44513.3333,16302.0,17805.0
C2,Neural Network,0,0.9712,0.0018,0.9711,0.0018,0.9711,0.0,0.0,0.0,0.0
C2,Neural Network,5,0.97,0.0007,0.97,0.0007,0.97,62630.3333,34523.0,2031.6667,2225.0
C2,Neural Network,10,0.9681,0.0022,0.968,0.0022,0.968,122658.6667,42482.3333,4068.3333,4451.0
C2,Neural Network,15,0.9662,0.0022,0.9662,0.0022,0.9662,176894.6667,44221.6667,6116.0,6676.3333
C2,Neural Network,20,0.9648,0.0015,0.9647,0.0015,0.9647,229145.6667,44425.0,8133.6667,8902.0
C2,Neural Network,25,0.9629,0.0016,0.9628,0.0016,0.9628,277550.0,44448.3333,10186.3333,11128.0
C2,Neural Network,30,0.961,0.0016,0.9609,0.0017,0.9609,321914.0,44504.6667,12191.3333,13353.3333
C2,Neural Network,35,0.9581,0.0008,0.958,0.0007,0.958,369026.6667,44513.3333,14230.0,15579.0
C2,Neural Network,40,0.9544,0.0031,0.9544,0.003,0.9544,407108.3333,44513.3333,16302.0,17805.0
C2,Random Forest,0,0.9766,0.0007,0.9765,0.0008,0.9765,0.0,0.0,0.0,0.0
C2,Random Forest,5,0.9754,0.0005,0.9754,0.0005,0.9754,62630.3333,34523.0,2031.6667,2225.0
C2,Random Forest,10,0.975,0.0011,0.975,0.0011,0.975,122658.6667,42482.3333,4068.3333,4451.0
C2,Random Forest,15,0.9733,0.0014,0.9732,0.0014,0.9732,176894.6667,44221.6667,6116.0,6676.3333
C2,Random Forest,20,0.9725,0.0014,0.9725,0.0014,0.9725,229145.6667,44425.0,8133.6667,8902.0
C2,Random Forest,25,0.9718,0.0008,0.9717,0.0008,0.9717,277550.0,44448.3333,10186.3333,11128.0
C2,Random Forest,30,0.9689,0.0012,0.9688,0.0012,0.9688,321914.0,44504.6667,12191.3333,13353.3333
C2,Random Forest,35,0.9675,0.0017,0.9674,0.0017,0.9674,369026.6667,44513.3333,14230.0,15579.0
C2,Random Forest,40,0.9658,0.0012,0.9657,0.0012,0.9657,407108.3333,44513.3333,16302.0,17805.0
C3,Decision Tree,0,0.9717,0.0017,0.9716,0.0017,0.9716,0.0,0.0,0.0,0.0
C3,Decision Tree,5,0.9694,0.0001,0.9693,0.0001,0.9693,139440.3333,42922.3333,2269.0,2225.0
C3,Decision Tree,10,0.9689,0.002,0.9688,0.002,0.9688,274884.6667,44432.0,4520.3333,4451.0
C3,Decision Tree,15,0.9663,0.0004,0.9662,0.0005,0.9662,397169.3333,44511.3333,6784.3333,6676.3333
C3,Decision Tree,20,0.9641,0.0016,0.9641,0.0016,0.9641,513862.0,44513.3333,9051.6667,8902.0
C3,Decision Tree,25,0.9641,0.0002,0.964,0.0002,0.964,630893.3333,44513.3333,11307.0,11128.0
C3,Decision Tree,30,0.961,0.0024,0.9609,0.0024,0.9609,732612.3333,44513.3333,13581.6667,13353.3333
C3,Decision Tree,35,0.9574,0.0014,0.9573,0.0014,0.9573,831385.3333,44513.3333,15824.3333,15579.0
C3,Decision Tree,40,0.9542,0.0006,0.9542,0.0006,0.9542,921184.6667,44513.3333,18122.3333,17805.0
C3,Logistic Regression,0,0.9534,0.0004,0.9533,0.0003,0.9533,0.0,0.0,0.0,0.0
C3,Logistic Regression,5,0.9042,0.0039,0.9039,0.0039,0.9039,139440.3333,42922.3333,2269.0,2225.0
C3,Logistic Regression,10,0.8663,0.0022,0.8659,0.0022,0.8659,274884.6667,44432.0,4520.3333,4451.0
C3,Logistic Regression,15,0.8312,0.0022,0.8304,0.0022,0.8304,397169.3333,44511.3333,6784.3333,6676.3333
C3,Logistic Regression,20,0.8037,0.0034,0.8026,0.0032,0.8026,513862.0,44513.3333,9051.6667,8902.0
C3,Logistic Regression,25,0.7764,0.0008,0.775,0.0007,0.775,630893.3333,44513.3333,11307.0,11128.0
C3,Logistic Regression,30,0.7565,0.0036,0.7547,0.0037,0.7547,732612.3333,44513.3333,13581.6667,13353.3333
C3,Logistic Regression,35,0.7361,0.0065,0.7336,0.0067,0.7336,831385.3333,44513.3333,15824.3333,15579.0
C3,Logistic Regression,40,0.7195,0.0039,0.7165,0.0038,0.7165,921184.6667,44513.3333,18122.3333,17805.0
C3,Neural Network,0,0.9712,0.0018,0.9711,0.0018,0.9711,0.0,0.0,0.0,0.0
C3,Neural Network,5,0.9701,0.0002,0.97,0.0002,0.97,139440.3333,42922.3333,2269.0,2225.0
C3,Neural Network,10,0.9681,0.0012,0.9681,0.0011,0.9681,274884.6667,44432.0,4520.3333,4451.0
C3,Neural Network,15,0.965,0.0009,0.965,0.0009,0.965,397169.3333,44511.3333,6784.3333,6676.3333
C3,Neural Network,20,0.9641,0.001,0.964,0.001,0.964,513862.0,44513.3333,9051.6667,8902.0
C3,Neural Network,25,0.9622,0.0007,0.9621,0.0007,0.9621,630893.3333,44513.3333,11307.0,11128.0
C3,Neural Network,30,0.9605,0.0023,0.9604,0.0022,0.9604,732612.3333,44513.3333,13581.6667,13353.3333
C3,Neural Network,35,0.9583,0.0013,0.9582,0.0012,0.9582,831385.3333,44513.3333,15824.3333,15579.0
C3,Neural Network,40,0.9554,0.002,0.9553,0.002,0.9553,921184.6667,44513.3333,18122.3333,17805.0
C3,Random Forest,0,0.9766,0.0007,0.9765,0.0008,0.9765,0.0,0.0,0.0,0.0
C3,Random Forest,5,0.9752,0.0005,0.9751,0.0005,0.9751,139440.3333,42922.3333,2269.0,2225.0
C3,Random Forest,10,0.975,0.0006,0.9749,0.0006,0.9749,274884.6667,44432.0,4520.3333,4451.0
C3,Random Forest,15,0.9732,0.001,0.9732,0.001,0.9732,397169.3333,44511.3333,6784.3333,6676.3333
C3,Random Forest,20,0.9725,0.0012,0.9724,0.0012,0.9724,513862.0,44513.3333,9051.6667,8902.0
C3,Random Forest,25,0.9713,0.0004,0.9712,0.0004,0.9712,630893.3333,44513.3333,11307.0,11128.0
C3,Random Forest,30,0.9688,0.0011,0.9688,0.0011,0.9688,732612.3333,44513.3333,13581.6667,13353.3333
C3,Random Forest,35,0.9671,0.0012,0.967,0.0012,0.967,831385.3333,44513.3333,15824.3333,15579.0
C3,Random Forest,40,0.9653,0.0009,0.9652,0.0009,0.9652,921184.6667,44513.3333,18122.3333,17805.0
C4,Decision Tree,0,0.9717,0.0017,0.9716,0.0017,0.9716,0.0,0.0,0.0,0.0
C4,Decision Tree,5,0.969,0.0018,0.969,0.0018,0.969,428490.3333,44513.3333,2304.0,2225.0
C4,Decision Tree,10,0.9683,0.0007,0.9683,0.0007,0.9683,832425.0,44513.3333,4591.6667,4451.0
C4,Decision Tree,15,0.9666,0.0014,0.9666,0.0014,0.9666,1211989.6667,44513.3333,6879.0,6676.3333
C4,Decision Tree,20,0.9635,0.0012,0.9635,0.0013,0.9635,1591006.3333,44513.3333,9180.3333,8902.0
C4,Decision Tree,25,0.9637,0.0018,0.9636,0.0018,0.9636,1906340.3333,44513.3333,11448.3333,11128.0
C4,Decision Tree,30,0.9615,0.0009,0.9614,0.0008,0.9614,2240020.0,44513.3333,13775.3333,13353.3333
C4,Decision Tree,35,0.9583,0.0025,0.9582,0.0025,0.9582,2552121.0,44513.3333,16026.0,15579.0
C4,Decision Tree,40,0.9554,0.0026,0.9553,0.0026,0.9553,2826211.6667,44513.3333,18369.0,17805.0
C4,Logistic Regression,0,0.9534,0.0004,0.9533,0.0003,0.9533,0.0,0.0,0.0,0.0
