N_FD,Modello,Rumore_%,Quota_train_sporca,IM,IH,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
5,Neural Network,40,0.9226,2434518.0,28716.4,0.796,0.0044,0.7953,0.0043,0.8671,0.0039,0.8667,0.0039
5,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
5,Random Forest,5,0.2276,519945.0,8822.6,0.9252,0.0026,0.9249,0.0027,0.9284,0.0022,0.928,0.0022
5,Random Forest,10,0.4074,966149.0,14983.8,0.9198,0.0012,0.9194,0.0012,0.9262,0.0012,0.9258,0.0012
5,Random Forest,20,0.6726,1667316.8,22782.8,0.9075,0.0012,0.907,0.0013,0.9199,0.0007,0.9194,0.0008
5,Random Forest,30,0.8328,2131686.0,26827.0,0.8964,0.0014,0.8957,0.0014,0.9133,0.0023,0.9126,0.0023
5,Random Forest,40,0.9226,2434518.0,28716.4,0.8874,0.0028,0.8867,0.0027,0.9072,0.0008,0.9065,0.0007
10,Decision Tree,0,0.0,0.0,0.0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
10,Decision Tree,5,0.4026,2065171.8,17585.8,0.9072,0.0032,0.907,0.0032,0.9216,0.0019,0.9214,0.0019
10,Decision Tree,10,0.6483,2958914.8,25175.0,0.8933,0.0028,0.8932,0.0028,0.9165,0.0022,0.9162,0.0022
10,Decision Tree,20,0.8932,3268942.4,29273.6,0.8742,0.0014,0.874,0.0014,0.9101,0.0034,0.9098,0.0034
10,Decision Tree,30,0.9716,3070085.8,29799.4,0.8632,0.003,0.863,0.0032,0.9037,0.0037,0.9034,0.0038
10,Decision Tree,40,0.9943,2917018.6,29841.0,0.8517,0.0031,0.8514,0.003,0.8971,0.0028,0.8967,0.0028
10,Logistic Regression,0,0.0,0.0,0.0,0.9222,0.0,0.9218,0.0,0.9222,0.0,0.9218,0.0
10,Logistic Regression,5,0.4026,2065171.8,17585.8,0.8862,0.0027,0.8857,0.0028,0.9003,0.0024,0.8997,0.0023
10,Logistic Regression,10,0.6483,2958914.8,25175.0,0.872,0.0016,0.8716,0.0017,0.8937,0.0015,0.893,0.0015
10,Logistic Regression,20,0.8932,3268942.4,29273.6,0.8575,0.0042,0.8569,0.0041,0.8846,0.0021,0.884,0.0021
10,Logistic Regression,30,0.9716,3070085.8,29799.4,0.845,0.0024,0.8444,0.0024,0.8752,0.0026,0.8747,0.0026
10,Logistic Regression,40,0.9943,2917018.6,29841.0,0.8367,0.004,0.836,0.004,0.8675,0.0022,0.867,0.0023
10,Neural Network,0,0.0,0.0,0.0,0.9153,0.0,0.9152,0.0,0.9153,0.0,0.9152,0.0
10,Neural Network,5,0.4026,2065171.8,17585.8,0.8818,0.0045,0.8817,0.0046,0.9035,0.0011,0.9033,0.0012
10,Neural Network,10,0.6483,2958914.8,25175.0,0.8513,0.0047,0.8509,0.0049,0.8953,0.0038,0.8949,0.0039
10,Neural Network,20,0.8932,3268942.4,29273.6,0.8042,0.0027,0.8037,0.0028,0.8764,0.0016,0.8761,0.0016
10,Neural Network,30,0.9716,3070085.8,29799.4,0.773,0.005,0.7722,0.0053,0.8589,0.0021,0.8584,0.0022
10,Neural Network,40,0.9943,2917018.6,29841.0,0.7487,0.0032,0.7481,0.003,0.8363,0.0009,0.8358,0.0006
10,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
10,Random Forest,5,0.4026,2065171.8,17585.8,0.9219,0.0012,0.9216,0.0012,0.9274,0.0023,0.9271,0.0023
10,Random Forest,10,0.6483,2958914.8,25175.0,0.9155,0.0034,0.915,0.0035,0.9245,0.0013,0.9241,0.0013
10,Random Forest,20,0.8932,3268942.4,29273.6,0.8952,0.0028,0.8946,0.0028,0.9153,0.0019,0.9146,0.002
10,Random Forest,30,0.9716,3070085.8,29799.4,0.8768,0.0028,0.8759,0.0028,0.9038,0.0026,0.9028,0.0027
10,Random Forest,40,0.9943,2917018.6,29841.0,0.8582,0.0011,0.8571,0.001,0.8912,0.0019,0.8899,0.0021
