N_FD,Regime,Modello,Valutazione,Metrica_Inconsistenza,N_punti,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
5,tutti i livelli,Random Forest,test_sporco,IP,30,-0.6195,0.00026183520614496457,-0.6473,0.00011057019898609192
5,tutti i livelli,Random Forest,test_sporco,IH,30,-0.9653,7.185066638782341e-18,-0.9866,1.369267521396265e-23
5,tutti i livelli,Random Forest,test_pulito,IM,30,-0.977,2.419079071365453e-20,-0.9662,4.9572568836389335e-18
5,tutti i livelli,Random Forest,test_pulito,IP,30,-0.6248,0.00022358250910072826,-0.6474,0.00011005076187854676
5,tutti i livelli,Random Forest,test_pulito,IH,30,-0.9521,6.030821207209465e-16,-0.9756,5.477573040823699e-20
10,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.7917,1.882100812083949e-07,-0.6039,0.00041040127583670804
10,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.6639,6.332764570676995e-05,-0.6474,0.00011031025175330423
10,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.8775,1.9563260712882915e-10,-0.9814,1.2507605292351132e-21
10,tutti i livelli,Decision Tree,test_pulito,IM,30,-0.6152,0.00029666103177316313,-0.5808,0.0007639781532956113
10,tutti i livelli,Decision Tree,test_pulito,IP,30,-0.4788,0.00742986959892411,-0.5438,0.0018964214175875192
10,tutti i livelli,Decision Tree,test_pulito,IH,30,-0.7267,5.426970671351457e-06,-0.9372,2.4730631810689872e-14
10,tutti i livelli,Logistic Regression,test_sporco,IM,30,-0.8983,1.646044421905791e-11,-0.615,0.00029828643724424643
10,tutti i livelli,Logistic Regression,test_sporco,IP,30,-0.8157,3.972469193595618e-08,-0.6474,0.00011031025175330423
10,tutti i livelli,Logistic Regression,test_sporco,IH,30,-0.9559,1.9690763480555292e-16,-0.9649,8.48351328505268e-18
10,tutti i livelli,Logistic Regression,test_pulito,IM,30,-0.8655,6.702519591815663e-10,-0.6147,0.0003008315819823099
10,tutti i livelli,Logistic Regression,test_pulito,IP,30,-0.7916,1.8976725835950618e-07,-0.6473,0.00011057019898609192
10,tutti i livelli,Logistic Regression,test_pulito,IH,30,-0.9328,6.25409497186457e-14,-0.972,3.84709185304181e-19
10,tutti i livelli,Neural Network,test_sporco,IM,30,-0.7807,3.594657577305943e-07,-0.607,0.00037577452308757596
10,tutti i livelli,Neural Network,test_sporco,IP,30,-0.6518,9.528811704339688e-05,-0.6474,0.00011031025175330423
10,tutti i livelli,Neural Network,test_sporco,IH,30,-0.8697,4.402929243205022e-10,-0.9778,1.548099881947223e-20
10,tutti i livelli,Neural Network,test_pulito,IM,30,-0.6744,4.38007436333817e-05,-0.6063,0.00038370310448416437
10,tutti i livelli,Neural Network,test_pulito,IP,30,-0.5674,0.0010769233583275612,-0.6473,0.00011057019898609192
10,tutti i livelli,Neural Network,test_pulito,IH,30,-0.7835,3.0575068098591154e-07,-0.9744,1.0813138232867903e-19
