Meno_FD,Rumore_meno_FD_%,Quota_meno_FD,F1_meno_FD,Piu_FD,Rumore_piu_FD_%,Quota_piu_FD,F1_piu_FD,Delta_quota,Delta_F1_piu_meno,Modelli_con_piu_FD_migliore
1,20,0.1977,0.9109,5,5,0.2276,0.9151,0.0299,0.0042,4/4
1,40,0.3976,0.9034,5,10,0.4074,0.9104,0.0099,0.007,4/4
1,40,0.3976,0.9034,10,5,0.4026,0.9129,0.005,0.0095,4/4
5,10,0.4074,0.9104,10,5,0.4026,0.9129,-0.0049,0.0024,4/4
5,20,0.6726,0.9039,10,10,0.6483,0.9071,-0.0243,0.0032,3/4
5,40,0.9226,0.89,10,20,0.8932,0.8961,-0.0294,0.0061,4/4
