Rumore_%,F1_test_pulito,F1_test_sporco,Perdita_apprendimento,Perdita_input_corrotto,Perdita_totale_test_sporco,Quota_apprendimento_%
0,0.9233,0.9233,0.0,0.0,0.0,
5,0.9071,0.8729,0.0162,0.0342,0.0505,32.2
10,0.8959,0.8309,0.0274,0.065,0.0924,29.6
20,0.8769,0.7524,0.0464,0.1245,0.1709,27.2
30,0.858,0.6791,0.0654,0.1789,0.2443,26.8
40,0.839,0.6117,0.0843,0.2273,0.3116,27.1
