N_FD,Modello,Rumore_%,Quota_train_sporca,IM,IH,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
2,Neural Network,40,0.6371,300732.0,25583.2,0.8365,0.0019,0.8365,0.0019,0.8722,0.0035,0.8722,0.0033
2,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
2,Random Forest,5,0.0974,71289.2,5175.8,0.9128,0.0014,0.9127,0.0014,0.9291,0.001,0.9288,0.001
2,Random Forest,10,0.1881,131055.0,9754.4,0.9004,0.0028,0.9003,0.0028,0.9241,0.0012,0.9238,0.0012
2,Random Forest,20,0.3597,217758.2,17090.4,0.8836,0.0011,0.8834,0.0012,0.9152,0.0012,0.9149,0.0013
2,Random Forest,30,0.5085,271098.6,22255.8,0.8699,0.0027,0.8694,0.0027,0.9046,0.0021,0.904,0.002
2,Random Forest,40,0.6371,300732.0,25583.2,0.8629,0.0029,0.8622,0.0029,0.8945,0.002,0.8937,0.0021
4,Decision Tree,0,0.0,0.0,0.0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
4,Decision Tree,5,0.1867,1816607.2,9782.6,0.8412,0.0028,0.8412,0.0028,0.9124,0.0034,0.9122,0.0034
4,Decision Tree,10,0.3424,3224069.0,16630.4,0.7761,0.0058,0.776,0.0059,0.9034,0.001,0.9031,0.0009
4,Decision Tree,20,0.5906,5081996.4,24745.2,0.66,0.0031,0.66,0.0028,0.8822,0.0022,0.8816,0.0022
4,Decision Tree,30,0.7606,5862349.2,28099.2,0.5505,0.005,0.5503,0.0049,0.8503,0.0019,0.8494,0.002
4,Decision Tree,40,0.8699,5924539.8,29316.0,0.4663,0.0056,0.4663,0.0055,0.8137,0.004,0.8123,0.0042
4,Logistic Regression,0,0.0,0.0,0.0,0.9222,0.0,0.9218,0.0,0.9222,0.0,0.9218,0.0
4,Logistic Regression,5,0.1867,1816607.2,9782.6,0.7657,0.0065,0.7649,0.0066,0.8232,0.0051,0.8222,0.0051
4,Logistic Regression,10,0.3424,3224069.0,16630.4,0.6666,0.0037,0.6655,0.0037,0.7589,0.0034,0.7571,0.0032
4,Logistic Regression,20,0.5906,5081996.4,24745.2,0.5599,0.0046,0.5586,0.0046,0.6906,0.007,0.6873,0.0073
4,Logistic Regression,30,0.7606,5862349.2,28099.2,0.4865,0.0025,0.4844,0.0024,0.6472,0.0053,0.6418,0.0059
4,Logistic Regression,40,0.8699,5924539.8,29316.0,0.4377,0.0032,0.4359,0.0031,0.6122,0.0027,0.6063,0.0025
4,Neural Network,0,0.0,0.0,0.0,0.9153,0.0,0.9152,0.0,0.9153,0.0,0.9152,0.0
4,Neural Network,5,0.1867,1816607.2,9782.6,0.8389,0.0033,0.8386,0.0033,0.895,0.002,0.8947,0.0021
4,Neural Network,10,0.3424,3224069.0,16630.4,0.7827,0.0063,0.7824,0.0063,0.8838,0.0022,0.8834,0.0022
4,Neural Network,20,0.5906,5081996.4,24745.2,0.6651,0.004,0.6647,0.004,0.8527,0.0032,0.8521,0.0032
4,Neural Network,30,0.7606,5862349.2,28099.2,0.5677,0.0013,0.5671,0.0011,0.8136,0.0032,0.8126,0.003
4,Neural Network,40,0.8699,5924539.8,29316.0,0.4862,0.006,0.4854,0.006,0.7667,0.0065,0.7651,0.0061
4,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
4,Random Forest,5,0.1867,1816607.2,9782.6,0.8938,0.002,0.8936,0.002,0.9253,0.002,0.925,0.002
4,Random Forest,10,0.3424,3224069.0,16630.4,0.8594,0.0022,0.8594,0.0022,0.919,0.0012,0.9186,0.0013
4,Random Forest,20,0.5906,5081996.4,24745.2,0.7732,0.0018,0.7727,0.0019,0.8985,0.0027,0.8977,0.0027
4,Random Forest,30,0.7606,5862349.2,28099.2,0.675,0.005,0.6736,0.0052,0.8714,0.0028,0.87,0.0029
4,Random Forest,40,0.8699,5924539.8,29316.0,0.5925,0.0035,0.59,0.0033,0.8322,0.0043,0.8295,0.0042
