N_FD,Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
2,10,2,102,Neural Network,128659,29704,9725,0.8624,0.8629,0.8624,0.8624,0.0059,0.0061,0.8978,0.8978,0.8978,0.8975,0.0084,0.0086,0.1844
2,10,3,103,Logistic Regression,132045,29671,9811,0.7046,0.7031,0.7046,0.7033,0.0093,0.0104,0.7707,0.769,0.7707,0.7687,0.0137,0.0138,0.1878
2,10,3,103,Random Forest,132045,29671,9811,0.8991,0.8995,0.8991,0.8991,0.011,0.011,0.9248,0.9249,0.9248,0.9245,0.0048,0.0048,0.1878
2,10,3,103,Decision Tree,132045,29671,9811,0.804,0.8041,0.804,0.8038,0.0053,0.0053,0.9068,0.9065,0.9068,0.9066,0.0033,0.0034,0.1878
2,10,3,103,Neural Network,132045,29671,9811,0.865,0.8654,0.865,0.8649,0.006,0.0062,0.8958,0.8959,0.8958,0.8955,0.0036,0.0036,0.1878
2,10,4,104,Logistic Regression,128385,29745,9686,0.6998,0.6992,0.6998,0.699,0.0104,0.0111,0.7628,0.7615,0.7628,0.7615,0.0138,0.0142,0.1912
2,10,4,104,Random Forest,128385,29745,9686,0.897,0.8968,0.897,0.8967,0.0053,0.0053,0.9221,0.922,0.9221,0.9218,0.006,0.006,0.1912
2,10,4,104,Decision Tree,128385,29745,9686,0.8028,0.8031,0.8028,0.8028,0.0083,0.008,0.9057,0.9056,0.9057,0.9055,0.0064,0.0066,0.1912
2,10,4,104,Neural Network,128385,29745,9686,0.8608,0.8609,0.8608,0.8607,0.0041,0.0043,0.8941,0.8941,0.8941,0.8938,0.0055,0.0057,0.1912
4,10,0,100,Logistic Regression,3156453,30000,16554,0.6712,0.6705,0.6712,0.6701,0.0079,0.0075,0.7612,0.759,0.7612,0.759,0.0115,0.0118,0.3439
4,10,0,100,Random Forest,3156453,30000,16554,0.8588,0.859,0.8588,0.8587,0.0078,0.008,0.9176,0.9174,0.9176,0.9171,0.0041,0.0042,0.3439
4,10,0,100,Decision Tree,3156453,30000,16554,0.7786,0.7795,0.7786,0.7788,0.0151,0.0151,0.904,0.9037,0.904,0.9036,0.0085,0.0087,0.3439
4,10,0,100,Neural Network,3156453,30000,16554,0.7927,0.7927,0.7927,0.7923,0.0104,0.0102,0.8873,0.8872,0.8873,0.8869,0.0069,0.0071,0.3439
4,10,1,101,Logistic Regression,3218657,30000,16643,0.6655,0.6648,0.6655,0.6647,0.0088,0.0084,0.7557,0.7536,0.7557,0.7539,0.0161,0.0157,0.3441
4,10,1,101,Random Forest,3218657,30000,16643,0.8619,0.862,0.8619,0.8617,0.0053,0.0051,0.9185,0.9183,0.9185,0.9181,0.0062,0.0062,0.3441
4,10,1,101,Decision Tree,3218657,30000,16643,0.769,0.7699,0.769,0.769,0.0146,0.0146,0.9026,0.9023,0.9026,0.9023,0.014,0.0139,0.3441
4,10,1,101,Neural Network,3218657,30000,16643,0.7821,0.7824,0.7821,0.7819,0.0073,0.0073,0.8838,0.8837,0.8838,0.8836,0.0108,0.011,0.3441
4,10,2,102,Logistic Regression,3251535,30000,16665,0.6642,0.6626,0.6642,0.663,0.0114,0.0116,0.7597,0.7575,0.7597,0.7578,0.0132,0.0136,0.3389
4,10,2,102,Random Forest,3251535,30000,16665,0.8603,0.8612,0.8603,0.8604,0.0093,0.0092,0.9193,0.9192,0.9193,0.9189,0.0078,0.0078,0.3389
4,10,2,102,Decision Tree,3251535,30000,16665,0.7837,0.7841,0.7837,0.7836,0.013,0.0133,0.9048,0.9045,0.9048,0.9045,0.0069,0.0071,0.3389
4,10,2,102,Neural Network,3251535,30000,16665,0.7775,0.7771,0.7775,0.777,0.0145,0.015,0.882,0.8817,0.882,0.8816,0.009,0.0091,0.3389
4,10,3,103,Logistic Regression,3267531,30000,16799,0.6697,0.668,0.6697,0.6685,0.0079,0.0085,0.7627,0.7608,0.7627,0.7609,0.0167,0.0173,0.3417
4,10,3,103,Random Forest,3267531,30000,16799,0.8602,0.8608,0.8602,0.8603,0.0106,0.0105,0.9209,0.9207,0.9209,0.9205,0.005,0.005,0.3417
4,10,3,103,Decision Tree,3267531,30000,16799,0.7774,0.7778,0.7774,0.7774,0.006,0.0059,0.9025,0.9024,0.9025,0.9023,0.0024,0.0023,0.3417
4,10,3,103,Neural Network,3267531,30000,16799,0.7838,0.7837,0.7838,0.7835,0.0142,0.0145,0.8841,0.8839,0.8841,0.8836,0.0034,0.0036,0.3417
4,10,4,104,Logistic Regression,3226169,30000,16491,0.6623,0.6614,0.6623,0.6614,0.0143,0.015,0.7551,0.7537,0.7551,0.7537,0.0131,0.0132,0.3436
4,10,4,104,Random Forest,3226169,30000,16491,0.856,0.8561,0.856,0.8559,0.009,0.009,0.9187,0.9185,0.9187,0.9182,0.0053,0.0054,0.3436
4,10,4,104,Decision Tree,3226169,30000,16491,0.7716,0.7717,0.7716,0.7714,0.0119,0.0119,0.9032,0.9032,0.9032,0.903,0.0063,0.0062,0.3436
4,10,4,104,Neural Network,3226169,30000,16491,0.7774,0.7773,0.7774,0.7771,0.014,0.0137,0.8818,0.8817,0.8818,0.8814,0.005,0.005,0.3436
1,20,0,100,Logistic Regression,106860,29489,9515,0.6883,0.687,0.6883,0.6872,0.0149,0.0149,0.7481,0.746,0.7481,0.7459,0.0133,0.0134,0.2012
1,20,0,100,Random Forest,106860,29489,9515,0.9048,0.905,0.9048,0.9047,0.004,0.004,0.9251,0.9252,0.9251,0.9248,0.005,0.005,0.2012
1,20,0,100,Decision Tree,106860,29489,9515,0.8031,0.8039,0.8031,0.8033,0.0126,0.0126,0.9099,0.9099,0.9099,0.9097,0.0114,0.0112,0.2012
1,20,0,100,Neural Network,106860,29489,9515,0.8821,0.8824,0.8821,0.882,0.0069,0.007,0.8988,0.8988,0.8988,0.8986,0.0049,0.0049,0.2012
1,20,1,101,Logistic Regression,105992,29392,9492,0.7057,0.7045,0.7057,0.7048,0.0096,0.0096,0.7603,0.7582,0.7603,0.7581,0.015,0.015,0.1985
1,20,1,101,Random Forest,105992,29392,9492,0.9052,0.9054,0.9052,0.9051,0.0057,0.0056,0.9253,0.9253,0.9253,0.925,0.0068,0.0068,0.1985
1,20,1,101,Decision Tree,105992,29392,9492,0.7972,0.7972,0.7972,0.7971,0.012,0.0124,0.9012,0.901,0.9012,0.901,0.0064,0.0064,0.1985
1,20,1,101,Neural Network,105992,29392,9492,0.8843,0.8843,0.8843,0.8841,0.0088,0.0089,0.8996,0.8998,0.8996,0.8994,0.0076,0.0078,0.1985
1,20,2,102,Logistic Regression,104784,29566,9511,0.697,0.6957,0.697,0.696,0.0082,0.0077,0.756,0.7537,0.756,0.7538,0.0068,0.0067,0.196
1,20,2,102,Random Forest,104784,29566,9511,0.902,0.9021,0.902,0.9018,0.0023,0.0024,0.924,0.924,0.924,0.9236,0.0046,0.0047,0.196
1,20,2,102,Decision Tree,104784,29566,9511,0.7953,0.7961,0.7953,0.7954,0.0121,0.0123,0.9031,0.9029,0.9031,0.9028,0.0055,0.0054,0.196
1,20,2,102,Neural Network,104784,29566,9511,0.8827,0.8829,0.8827,0.8826,0.0089,0.0091,0.8948,0.8949,0.8948,0.8947,0.0098,0.0099,0.196
1,20,3,103,Logistic Regression,106725,29229,9604,0.7004,0.6984,0.7004,0.6989,0.0084,0.0082,0.7565,0.7546,0.7565,0.7543,0.0081,0.0079,0.1947
1,20,3,103,Random Forest,106725,29229,9604,0.9027,0.9029,0.9027,0.9027,0.0058,0.0058,0.9235,0.9234,0.9235,0.9232,0.0063,0.0063,0.1947
1,20,3,103,Decision Tree,106725,29229,9604,0.8046,0.8052,0.8046,0.8046,0.0099,0.0096,0.9108,0.9106,0.9108,0.9105,0.0068,0.0069,0.1947
1,20,3,103,Neural Network,106725,29229,9604,0.8831,0.8835,0.8831,0.883,0.0094,0.0094,0.898,0.8983,0.898,0.8979,0.0105,0.0108,0.1947
1,20,4,104,Logistic Regression,104601,29151,9420,0.6996,0.6986,0.6996,0.6987,0.0183,0.0186,0.7592,0.7575,0.7592,0.7571,0.0159,0.0165,0.1979
1,20,4,104,Random Forest,104601,29151,9420,0.9051,0.9052,0.9051,0.9049,0.0065,0.0065,0.9239,0.9238,0.9239,0.9235,0.0049,0.0049,0.1979
1,20,4,104,Decision Tree,104601,29151,9420,0.7941,0.7946,0.7941,0.7941,0.0166,0.0165,0.901,0.9008,0.901,0.9007,0.0129,0.0129,0.1979
1,20,4,104,Neural Network,104601,29151,9420,0.8813,0.8817,0.8813,0.8813,0.0055,0.0058,0.8952,0.8954,0.8952,0.895,0.0055,0.0057,0.1979
2,20,0,100,Logistic Regression,218206,29993,17171,0.6184,0.6162,0.6184,0.6168,0.0172,0.0174,0.7005,0.6958,0.7005,0.6968,0.0158,0.0162,0.3637
2,20,0,100,Random Forest,218206,29993,17171,0.8826,0.8826,0.8826,0.8824,0.006,0.0059,0.9166,0.9163,0.9166,0.9163,0.0099,0.01,0.3637
2,20,0,100,Decision Tree,218206,29993,17171,0.7434,0.7446,0.7434,0.7438,0.0221,0.0222,0.9009,0.9008,0.9009,0.9006,0.0104,0.0104,0.3637
2,20,0,100,Neural Network,218206,29993,17171,0.8536,0.8541,0.8536,0.8536,0.0066,0.0067,0.8853,0.8854,0.8853,0.8851,0.0072,0.0072,0.3637
2,20,1,101,Logistic Regression,216294,29998,16989,0.6313,0.6287,0.6313,0.6296,0.0102,0.0096,0.7079,0.7037,0.7079,0.7046,0.0174,0.0176,0.3581
2,20,1,101,Random Forest,216294,29998,16989,0.8827,0.8827,0.8827,0.8825,0.0103,0.0102,0.9143,0.914,0.9143,0.9139,0.0072,0.0073,0.3581
2,20,1,101,Decision Tree,216294,29998,16989,0.7344,0.7355,0.7344,0.7346,0.0082,0.0079,0.8915,0.8911,0.8915,0.8912,0.0054,0.0054,0.3581
2,20,1,101,Neural Network,216294,29998,16989,0.8472,0.8476,0.8472,0.8473,0.0093,0.0093,0.886,0.8863,0.886,0.886,0.0092,0.0093,0.3581
2,20,2,102,Logistic Regression,216344,29999,17063,0.6218,0.6199,0.6218,0.6202,0.0143,0.0136,0.7066,0.7024,0.7066,0.7036,0.0076,0.0074,0.3564
2,20,2,102,Random Forest,216344,29999,17063,0.8848,0.8848,0.8848,0.8847,0.0105,0.0106,0.9159,0.9159,0.9159,0.9157,0.0089,0.0089,0.3564
2,20,2,102,Decision Tree,216344,29999,17063,0.7288,0.7301,0.7288,0.7291,0.0093,0.0093,0.8913,0.8911,0.8913,0.891,0.0077,0.008,0.3564
2,20,2,102,Neural Network,216344,29999,17063,0.8554,0.8567,0.8554,0.8556,0.0094,0.0097,0.8878,0.8883,0.8878,0.8878,0.0108,0.011,0.3564
2,20,3,103,Logistic Regression,218239,29992,17123,0.6266,0.6233,0.6266,0.6245,0.0146,0.0146,0.7098,0.7062,0.7098,0.7066,0.0171,0.0177,0.3606
2,20,3,103,Random Forest,218239,29992,17123,0.8829,0.883,0.8829,0.8827,0.0068,0.0069,0.9136,0.9134,0.9136,0.9132,0.0046,0.0045,0.3606
2,20,3,103,Decision Tree,218239,29992,17123,0.7193,0.7212,0.7193,0.7199,0.0101,0.0098,0.8892,0.8888,0.8892,0.8888,0.0073,0.0073,0.3606
2,20,3,103,Neural Network,218239,29992,17123,0.8546,0.8551,0.8546,0.8545,0.0123,0.0121,0.8873,0.8877,0.8873,0.8872,0.0118,0.0117,0.3606
2,20,4,104,Logistic Regression,219708,29994,17106,0.6251,0.623,0.6251,0.6235,0.0172,0.0177,0.7079,0.7044,0.7079,0.7047,0.0155,0.0157,0.3595
2,20,4,104,Random Forest,219708,29994,17106,0.8848,0.8848,0.8848,0.8846,0.0077,0.0076,0.9156,0.9153,0.9156,0.9152,0.0064,0.0065,0.3595
2,20,4,104,Decision Tree,219708,29994,17106,0.7283,0.7287,0.7283,0.7282,0.0091,0.0091,0.8894,0.8888,0.8894,0.8889,0.0085,0.0084,0.3595
2,20,4,104,Neural Network,219708,29994,17106,0.8519,0.8518,0.8519,0.8517,0.013,0.0129,0.8833,0.8834,0.8833,0.8831,0.0113,0.0114,0.3595
4,20,0,100,Logistic Regression,5068484,30000,24730,0.5522,0.5508,0.5522,0.5508,0.016,0.016,0.6784,0.6732,0.6784,0.6745,0.013,0.013,0.5899
4,20,0,100,Random Forest,5068484,30000,24730,0.7716,0.7712,0.7716,0.7711,0.004,0.0044,0.8963,0.8957,0.8963,0.8957,0.007,0.007,0.5899
4,20,0,100,Decision Tree,5068484,30000,24730,0.664,0.665,0.664,0.664,0.0121,0.0119,0.8845,0.8842,0.8845,0.884,0.0104,0.0105,0.5899
4,20,0,100,Neural Network,5068484,30000,24730,0.6686,0.6692,0.6686,0.6685,0.0151,0.0151,0.8548,0.8548,0.8548,0.8544,0.0138,0.0134,0.5899
4,20,1,101,Logistic Regression,5132687,30000,24762,0.5644,0.5623,0.5644,0.5629,0.0173,0.0171,0.696,0.691,0.696,0.6926,0.0117,0.0122,0.589
4,20,1,101,Random Forest,5132687,30000,24762,0.7719,0.7714,0.7719,0.7713,0.011,0.0112,0.8963,0.8955,0.8963,0.8954,0.0092,0.0094,0.589
4,20,1,101,Decision Tree,5132687,30000,24762,0.6611,0.6613,0.6611,0.6607,0.0081,0.0081,0.8807,0.8803,0.8807,0.8802,0.0105,0.0105,0.589
4,20,1,101,Neural Network,5132687,30000,24762,0.6669,0.6668,0.6669,0.6665,0.0143,0.0144,0.8569,0.8562,0.8569,0.8561,0.0065,0.0068,0.589
4,20,2,102,Logistic Regression,5104746,30000,24801,0.56,0.5594,0.56,0.5591,0.0177,0.0169,0.6934,0.6889,0.6934,0.6903,0.0152,0.016,0.5863
