N_FD,Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
1,0,0,100,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
1,0,0,100,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
1,0,0,100,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
1,0,0,100,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
1,0,1,101,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
1,0,1,101,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
1,0,1,101,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
1,0,1,101,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
1,0,2,102,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
1,0,2,102,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
1,0,2,102,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
1,0,2,102,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
1,0,3,103,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
1,0,3,103,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
1,0,3,103,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
1,0,3,103,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
1,0,4,104,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
