N_FD,Rumore_%,Quota_train_sporca,F1_test_pulito,F1_test_sporco,Perdita_apprendimento,Perdita_input_corrotto,Perdita_totale_test_sporco,Quota_apprendimento_%
1,0,0.0,0.9233,0.9233,0.0,0.0,0.0,
1,5,0.0495,0.9049,0.8852,0.0184,0.0197,0.0382,48.3
1,10,0.0977,0.8901,0.8583,0.0332,0.0318,0.065,51.1
1,20,0.1977,0.87,0.8206,0.0533,0.0494,0.1027,51.9
1,30,0.2982,0.8572,0.7955,0.0661,0.0617,0.1278,51.8
1,40,0.3976,0.8451,0.7753,0.0782,0.0698,0.1481,52.8
2,0,0.0,0.9233,0.9233,0.0,0.0,0.0,
2,5,0.0974,0.8933,0.8575,0.03,0.0359,0.0659,45.5
2,10,0.1881,0.8728,0.8174,0.0505,0.0554,0.106,47.7
2,20,0.3597,0.849,0.7725,0.0743,0.0765,0.1508,49.3
2,30,0.5085,0.8291,0.7425,0.0942,0.0866,0.1808,52.1
2,40,0.6371,0.8137,0.7266,0.1097,0.087,0.1967,55.8
4,0,0.0,0.9233,0.9233,0.0,0.0,0.0,
4,5,0.1867,0.8885,0.8346,0.0348,0.0539,0.0887,39.2
4,10,0.3424,0.8655,0.7708,0.0578,0.0947,0.1525,37.9
4,20,0.5906,0.8297,0.664,0.0936,0.1657,0.2593,36.1
4,30,0.7606,0.7934,0.5689,0.1299,0.2246,0.3545,36.6
4,40,0.8699,0.7533,0.4944,0.17,0.2589,0.4289,39.6
