N_FD,Modello,Rumore_%,Quota_train_sporca,IM_mean,IP_mean,IH_approx_mean,IH_esatto_mean,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
2,Neural Network,0,0.0,0.0,0.0,0.0,,0.9109,0.0015,0.9107,0.0016,0.9109,0.0015,0.9107,0.0016
2,Neural Network,5,0.097,3603.84,3093.12,916.08,,0.8714,0.001,0.8711,0.0012,0.8977,0.0022,0.8974,0.0023
2,Neural Network,10,0.1886,6579.36,4592.2,1728.68,,0.859,0.0042,0.8588,0.0044,0.8906,0.003,0.8905,0.0031
2,Neural Network,20,0.3573,10760.72,5779.88,2996.6,,0.8458,0.0026,0.8456,0.0026,0.8833,0.0031,0.8831,0.0031
2,Neural Network,30,0.5076,13492.0,6171.6,3917.12,,0.8409,0.0052,0.8408,0.0053,0.8771,0.0056,0.8769,0.0056
2,Neural Network,40,0.641,14741.64,6311.56,4486.92,,0.8323,0.0016,0.8321,0.0017,0.8697,0.0023,0.8695,0.0023
2,Random Forest,0,0.0,0.0,0.0,0.0,,0.9309,0.0013,0.9306,0.0013,0.9309,0.0013,0.9306,0.0013
2,Random Forest,5,0.097,3603.84,3093.12,916.08,,0.9098,0.0032,0.9097,0.0032,0.9267,0.0026,0.9264,0.0026
2,Random Forest,10,0.1886,6579.36,4592.2,1728.68,,0.8977,0.0019,0.8976,0.0018,0.9222,0.0022,0.9219,0.0022
2,Random Forest,20,0.3573,10760.72,5779.88,2996.6,,0.8816,0.0032,0.8814,0.0033,0.9147,0.0013,0.9143,0.0013
2,Random Forest,30,0.5076,13492.0,6171.6,3917.12,,0.87,0.0038,0.8697,0.0038,0.9055,0.0031,0.905,0.003
2,Random Forest,40,0.641,14741.64,6311.56,4486.92,,0.862,0.0028,0.8616,0.0029,0.8938,0.0019,0.8932,0.002
4,Decision Tree,0,0.0,0.0,0.0,0.0,,0.9213,0.0043,0.9212,0.0044,0.9213,0.0043,0.9212,0.0044
4,Decision Tree,5,0.1852,92275.48,6466.8,1868.44,,0.8431,0.0014,0.8431,0.0014,0.9121,0.0026,0.9119,0.0026
4,Decision Tree,10,0.342,161629.56,6471.84,3244.12,,0.7777,0.0095,0.7778,0.0096,0.9016,0.0018,0.9013,0.0019
4,Decision Tree,20,0.5892,251133.36,6472.0,4959.56,,0.656,0.0065,0.6559,0.0065,0.8776,0.0064,0.877,0.0066
4,Decision Tree,30,0.7592,290360.6,6472.0,5750.36,,0.5487,0.0055,0.5487,0.0058,0.8527,0.0049,0.8521,0.0051
4,Decision Tree,40,0.8721,289585.56,6472.0,6122.24,,0.4544,0.0094,0.4542,0.0093,0.8071,0.0064,0.8057,0.0068
4,Logistic Regression,0,0.0,0.0,0.0,0.0,,0.9233,0.0022,0.9231,0.0022,0.9233,0.0022,0.9231,0.0022
4,Logistic Regression,5,0.1852,92275.48,6466.8,1868.44,,0.7579,0.0053,0.7569,0.0054,0.8144,0.0058,0.8133,0.0057
4,Logistic Regression,10,0.342,161629.56,6471.84,3244.12,,0.6624,0.0116,0.6615,0.0117,0.751,0.0088,0.7493,0.0091
4,Logistic Regression,20,0.5892,251133.36,6472.0,4959.56,,0.5529,0.0078,0.5513,0.0078,0.6882,0.0121,0.685,0.0124
4,Logistic Regression,30,0.7592,290360.6,6472.0,5750.36,,0.4826,0.0042,0.4804,0.0042,0.6467,0.0066,0.6422,0.0065
4,Logistic Regression,40,0.8721,289585.56,6472.0,6122.24,,0.4352,0.0064,0.4328,0.0066,0.6098,0.0068,0.6035,0.0067
4,Neural Network,0,0.0,0.0,0.0,0.0,,0.9109,0.0015,0.9107,0.0016,0.9109,0.0015,0.9107,0.0016
4,Neural Network,5,0.1852,92275.48,6466.8,1868.44,,0.8344,0.0014,0.8342,0.0016,0.8917,0.0013,0.8915,0.0012
4,Neural Network,10,0.342,161629.56,6471.84,3244.12,,0.7779,0.0069,0.7775,0.007,0.8797,0.0021,0.8794,0.0022
4,Neural Network,20,0.5892,251133.36,6472.0,4959.56,,0.665,0.0021,0.6649,0.002,0.85,0.0037,0.8495,0.0039
4,Neural Network,30,0.7592,290360.6,6472.0,5750.36,,0.5623,0.0035,0.5616,0.0036,0.8071,0.0031,0.8062,0.0031
4,Neural Network,40,0.8721,289585.56,6472.0,6122.24,,0.4817,0.0076,0.4811,0.0078,0.7666,0.0047,0.7654,0.0042
4,Random Forest,0,0.0,0.0,0.0,0.0,,0.9309,0.0013,0.9306,0.0013,0.9309,0.0013,0.9306,0.0013
4,Random Forest,5,0.1852,92275.48,6466.8,1868.44,,0.8938,0.0013,0.8937,0.0013,0.9246,0.0019,0.9243,0.0019
4,Random Forest,10,0.342,161629.56,6471.84,3244.12,,0.8559,0.0051,0.8557,0.0052,0.9176,0.0017,0.9172,0.0017
4,Random Forest,20,0.5892,251133.36,6472.0,4959.56,,0.7709,0.0027,0.7703,0.0029,0.8979,0.0016,0.8972,0.0017
4,Random Forest,30,0.7592,290360.6,6472.0,5750.36,,0.681,0.0044,0.6797,0.0045,0.8711,0.0057,0.8698,0.0055
4,Random Forest,40,0.8721,289585.56,6472.0,6122.24,,0.5943,0.007,0.5915,0.0076,0.8308,0.0095,0.8281,0.0099
