Rumore_%,F1_test_pulito,F1_test_sporco,Perdita_apprendimento,Perdita_input_corrotto,Perdita_totale_test_sporco,Quota_apprendimento_%
0,0.9214,0.9214,0.0,0.0,0.0,
5,0.9049,0.871,0.0165,0.0339,0.0504,32.7
10,0.8921,0.8272,0.0293,0.0649,0.0942,31.2
20,0.8739,0.7505,0.0475,0.1234,0.1709,27.8
30,0.856,0.6783,0.0654,0.1777,0.2431,26.9
40,0.8381,0.6115,0.0833,0.2266,0.3099,26.9
