Configurazione,Rep,Seed,Modello,Colonne_sporcate,F1_test_pulito,F1_test_sporco,Quota_train_sporca
FD DestAirportID -> DestState,0,100,Random Forest,2,0.933,0.932,0.4005
FD DestAirportID -> DestState,0,100,Decision Tree,2,0.9208,0.9175,0.4005
FD DestAirportID -> DestState,0,100,Neural Network,2,0.9128,0.9069,0.4005
FD DestAirportID -> DestState,1,101,Logistic Regression,2,0.9197,0.918,0.3991
FD DestAirportID -> DestState,1,101,Random Forest,2,0.9312,0.9301,0.3991
FD DestAirportID -> DestState,1,101,Decision Tree,2,0.9218,0.9207,0.3991
FD DestAirportID -> DestState,1,101,Neural Network,2,0.9083,0.9054,0.3991
FD DestAirportID -> DestState,2,102,Logistic Regression,2,0.9209,0.9193,0.3942
FD DestAirportID -> DestState,2,102,Random Forest,2,0.93,0.9294,0.3942
FD DestAirportID -> DestState,2,102,Decision Tree,2,0.9248,0.9224,0.3942
FD DestAirportID -> DestState,2,102,Neural Network,2,0.9153,0.9091,0.3942
Concetto aeroporto di origine,0,100,Logistic Regression,7,0.9106,0.8917,0.4005
Concetto aeroporto di origine,0,100,Random Forest,7,0.9193,0.9029,0.4005
Concetto aeroporto di origine,0,100,Decision Tree,7,0.9113,0.8945,0.4005
Concetto aeroporto di origine,0,100,Neural Network,7,0.9022,0.8498,0.4005
Concetto aeroporto di origine,1,101,Logistic Regression,7,0.9113,0.8902,0.3991
Concetto aeroporto di origine,1,101,Random Forest,7,0.9208,0.9036,0.3991
Concetto aeroporto di origine,1,101,Decision Tree,7,0.9108,0.8974,0.3991
Concetto aeroporto di origine,1,101,Neural Network,7,0.8983,0.8461,0.3991
Concetto aeroporto di origine,2,102,Logistic Regression,7,0.9082,0.8877,0.3942
Concetto aeroporto di origine,2,102,Random Forest,7,0.9195,0.8979,0.3942
Concetto aeroporto di origine,2,102,Decision Tree,7,0.9123,0.8994,0.3942
Concetto aeroporto di origine,2,102,Neural Network,7,0.8987,0.8448,0.3942
Concetto aeroporto di destinazione,0,100,Logistic Regression,7,0.9116,0.893,0.4005
Concetto aeroporto di destinazione,0,100,Random Forest,7,0.9227,0.9045,0.4005
Concetto aeroporto di destinazione,0,100,Decision Tree,7,0.9148,0.9022,0.4005
Concetto aeroporto di destinazione,0,100,Neural Network,7,0.9012,0.8498,0.4005
